material_id,formula,density,elements,band_gap,crystal_system,crystal_code,pages,refractive_index
mp-1974574,Hg,12.246978631090869,Hg,0.0,Monoclinic,6,['Inagaki'],1.3008964469048818
mp-1104341,Nb,8.537345194804299,Nb,0.0,Monoclinic,6,"['Golovashkin-293K', 'Golovashkin-4.2K', 'Golovashkin-78K', 'Weaver', 'Windt']",2.13
mp-1238808,Au,16.730993180447804,Au,0.0,Monoclinic,6,"['Babar', 'Ciesielski-Ge', 'Ciesielski', 'Hagemann-2', 'Hagemann', 'Johnson', 'Lemarchand-11.7nm', 'Lemarchand-3.96nm', 'Lemarchand-4.62nm', 'Lemarchand-5.77nm', 'Magnozzi-225C', 'Magnozzi-25C', 'Magnozzi-350C', 'McPeak', 'Olmon-ev', 'Olmon-sc', 'Olmon-ts', 'Ordal', 'Rakic-BB', 'Rakic-LD', 'Rosenblatt-11nm', 'Rosenblatt-21nm', 'Rosenblatt-44nm', 'Werner-DFT', 'Werner', 'Windt', 'Yakubovsky-117nm', 'Yakubovsky-25nm', 'Yakubovsky-4nm', 'Yakubovsky-53nm', 'Yakubovsky-6nm', 'Yakubovsky-9nm']",0.7862048309178744
mp-1524462,O2,1.804134008741377,O,2.7061,Monoclinic,6,"['Smith', 'Zhang']",1.0002541288257703
mp-2206907,O2,1.45199901468796,O,2.285,Monoclinic,6,"['Smith', 'Zhang']",1.0002541288257703
mp-23157,Bi,10.198727517336696,Bi,0.0,Monoclinic,6,"['Hagemann', 'Werner-DFT', 'Werner']",1.8775314516129031
mp-1182248,Bi,0.921036334435118,Bi,1.5046,Monoclinic,6,"['Hagemann', 'Werner-DFT', 'Werner']",1.8775314516129031
mp-569360,Hg,12.046880285620118,Hg,0.0967,Monoclinic,6,['Inagaki'],1.3008964469048818
mp-3347313,C,2.1761568056275022,C,1.376199999999999,Monoclinic,6,"['Arakawa', 'Djurisic-e', 'Djurisic-o', 'Dore', 'El-Sayed', 'Ermolaev-SWCNT-e', 'Ermolaev-SWCNT-o', 'Ermolaev', 'Hagemann', 'Larruquert', 'Peter', 'Phillip', 'Querry-Asbury3222', 'Querry-AsburyMicro260', 'Querry-Dixon1102', 'Querry-Dixon200-10', 'Querry-DixonHPN2', 'Querry-DixonKS2', 'Querry-Pyrolytic', 'Song-Arc', 'Song-cHOPG-e', 'Song-cHOPG-o', 'Song-HiPco', 'Song-sHOPG-e', 'Song-sHOPG-o', 'Song', 'Taylor', 'Tikuisis', 'Weber']",2.274911838790932
mp-611836,O2,1.536783825475841,O,1.314299999999999,Monoclinic,6,"['Smith', 'Zhang']",1.0002541288257703
